month,date_of_month,births
1,1,8126.40625
1,2,9777.933333333332
1,3,11128.5
1,4,10969.933333333332
1,5,10722.033333333333
1,6,10596.466666666667
1,7,11041.133333333333
1,8,10933.566666666668
1,9,10777.333333333334
1,10,11107.466666666667
1,11,10985.166666666666
1,12,10612.066666666668
1,13,10324.566666666668
1,14,11120.2
1,15,10965.2
1,16,10848.433333333332
1,17,11063.733333333334
1,18,10816.633333333333
1,19,10366.533333333333
1,20,10320.9
1,21,10909.266666666666
1,22,11194.266666666666
1,23,11133.566666666668
1,24,11099.433333333332
1,25,11058.366666666667
1,26,10347.366666666667
1,27,10535.766666666666
1,28,11039.6
1,29,10702.433333333332
1,30,10905.633333333333
1,31,11097.9
2,1,11105.4
2,2,10533.666666666666
2,3,10584.566666666668
2,4,10918.633333333333
2,5,11031.866666666667
2,6,11049.6
2,7,11388.5
2,8,11165.466666666667
2,9,10383.966666666667
2,10,10764.6
2,11,11140.033333333333
2,12,11184.033333333333
2,13,10864.233333333334
2,14,11862.566666666668
2,15,11310.566666666668
2,16,10469.733333333334
2,17,10368.666666666666
2,18,11098.033333333333
2,19,10841.733333333334
2,20,11233.1
2,21,11103.266666666666
2,22,11006.666666666666
2,23,10409.966666666667
2,24,10487.9
2,25,11181.366666666667
2,26,11164.233333333334
2,27,11136.066666666668
2,28,11043.666666666666
2,29,10413.7
3,1,11095.733333333334
3,2,10409.8
3,3,10676.2
3,4,10892.033333333333
3,5,11141.466666666667
3,6,11115.833333333334
3,7,11247.566666666668
3,8,11056.3
3,9,10451.066666666668
3,10,10364.466666666667
3,11,10733.633333333333
3,12,10893.133333333333
3,13,10953.5
3,14,11462.133333333333
3,15,11135.866666666667
3,16,10520.966666666667
3,17,10819.566666666668
3,18,10953.833333333334
3,19,11000.733333333334
3,20,11369.2
3,21,11319.666666666666
3,22,10985.7
3,23,10339.433333333332
3,24,10446.133333333333
3,25,10758.333333333334
3,26,10997.533333333333
3,27,11077.766666666666
